occupation	occupationLabelSv	occupationLabelEn	occupationLabelDe
http://www.wikidata.org/entity/Q1371796	vapensmed	gunsmith	Büchsenmacher
http://www.wikidata.org/entity/Q13581129	orienterare	orienteer	Orientierungsläufer
http://www.wikidata.org/entity/Q13582652	civilingenjör	civil engineer	Bauingenieur
http://www.wikidata.org/entity/Q1350157	musikkritiker	music critic	Musikkritiker
http://www.wikidata.org/entity/Q1344174	bokningsagent	talent agent	Künstleragent
http://www.wikidata.org/entity/Q1394172	hospodar	hospodar	Gospodar
http://www.wikidata.org/entity/Q1392297	tågklarerare	train dispatcher	Fahrdienstleiter
http://www.wikidata.org/entity/Q1391362	lagerarbetare	warehouseman	Fachkraft für Lagerlogistik
http://www.wikidata.org/entity/Q2815948	landskapsarkitekt	landscape architect	Landschaftsarchitekt
http://www.wikidata.org/entity/Q6337803	neuroforskare	neuroscientist	Neurowissenschaftler
http://www.wikidata.org/entity/Q10774753	performancekonstnär	performance artist	Performancekünstler
http://www.wikidata.org/entity/Q1365552	sakristan	sacristan	Küster
http://www.wikidata.org/entity/Q1368409	uppfödare	breeder	Züchter
http://www.wikidata.org/entity/Q1366909	fotbollskommentator	soccer commentator	Fußballkommentator
http://www.wikidata.org/entity/Q1371378	etnolog	ethnologist	Ethnologe
http://www.wikidata.org/entity/Q10568847	logistiker	logistician	Logistiker
http://www.wikidata.org/entity/Q10567966	liturgist	liturgist	Liturgiker
http://www.wikidata.org/entity/Q10650082	recensent	reviewer	Rezensent
http://www.wikidata.org/entity/Q2854916	otolaryngolog	otolaryngologist	Hals-Nasen-Ohren-Arzt
http://www.wikidata.org/entity/Q2837942	allergolog	allergist	Allergologe
http://www.wikidata.org/entity/Q13854733	hinderlöpare	steeplechase runner	Hindernisläufer
http://www.wikidata.org/entity/Q13856320	släggkastare	hammer thrower	Hammerwerfer
http://www.wikidata.org/entity/Q14009165	trapper	trapper	Trapper
http://www.wikidata.org/entity/Q11202952	mänsklig räknare	human computer	menschlicher Computer
http://www.wikidata.org/entity/Q6399436	video jockey	VJ	Videojockey
http://www.wikidata.org/entity/Q6430706	kritiker	critic	Kritiker
http://www.wikidata.org/entity/Q10862983	etsare	etcher	Radierer
http://www.wikidata.org/entity/Q10855616	krigskirurg	army surgeon	Sanitätsoffizier
http://www.wikidata.org/entity/Q10843263	landhockeyspelare	field hockey player	Hockeyspieler
http://www.wikidata.org/entity/Q1402561	militär ledare	military leader	Feldherr
http://www.wikidata.org/entity/Q13848274	trestegshoppare	triple jumper	Dreispringer
http://www.wikidata.org/entity/Q13724897	häcklöpare	hurdler	Hürdenläufer
http://www.wikidata.org/entity/Q13638192	obstetriker	obstetrician	Geburtshelfer
http://www.wikidata.org/entity/Q10841764	formel 1-förare	Formula One driver	Formel-1-Fahrer
http://www.wikidata.org/entity/Q10842936	rallyförare	race car driver	Rallyefahrer
http://www.wikidata.org/entity/Q15143191	vetenskapskommunikatör	science communicator	Wissenschaftskommunikator
http://www.wikidata.org/entity/Q15214752	kabaréartist	cabaret artist	Kabarettist
http://www.wikidata.org/entity/Q15255771	sinolog	sinologist	Sinologe
http://www.wikidata.org/entity/Q11424604	geovetare	earth scientist	Geowissenschaftler
http://www.wikidata.org/entity/Q11455387	möbelarkitekt	furniture designer	Möbeldesigner
http://www.wikidata.org/entity/Q14373094	rugbyspelare	rugby league player	Rugby-League-Spieler
http://www.wikidata.org/entity/Q14467526	lingvist	linguist	Linguist
http://www.wikidata.org/entity/Q14623005	ritare	draftsperson	Bauzeichner
http://www.wikidata.org/entity/Q14565331	logiker	logician	Logiker
http://www.wikidata.org/entity/Q2868586	kommersiell austronaut	commercial astronaut	kommerzieller Astronaut
http://www.wikidata.org/entity/Q7019498	nyhetschef	news director	Nachrichtendirektor
http://www.wikidata.org/entity/Q7019111	socialarbetare	social worker	Sozialarbeiter
http://www.wikidata.org/entity/Q7042855	filmklippare	film editor	Filmeditor
http://www.wikidata.org/entity/Q11338576	boxare	boxer	Boxer
http://www.wikidata.org/entity/Q13570226	litteraturhistoriker	literary historian	Literaturhistoriker
http://www.wikidata.org/entity/Q13554447	domstolspresident	chief judge	Oberster Richter
http://www.wikidata.org/entity/Q1388151	pressekreterare	press secretary	Pressereferent
http://www.wikidata.org/entity/Q14906342	biofysiker	biophysicist	Biophysiker
http://www.wikidata.org/entity/Q14915751	prostituerad	prostitute	Prostituierter
http://www.wikidata.org/entity/Q1381391	evangelist	evangelist	Evangelist (Prediger)
http://www.wikidata.org/entity/Q1371925	speaker	announcer	Ansager
http://www.wikidata.org/entity/Q1383594	sekond	executive officer	Executive Officer
http://www.wikidata.org/entity/Q2914170	gatukonstnär	street artist	Straßenkünstler
http://www.wikidata.org/entity/Q2919046	biokemist	biochemist	Biochemiker
http://www.wikidata.org/entity/Q6665249	judoka	judoka	Judoka
http://www.wikidata.org/entity/Q2904006	bioinformatiker	bioinformatician	Bioinformatiker
http://www.wikidata.org/entity/Q2906862	influerare	influencer	Influencer
http://www.wikidata.org/entity/Q10873124	schackspelare	chess player	Schachspieler
http://www.wikidata.org/entity/Q13590141	programledare	presenter	Moderator
http://www.wikidata.org/entity/Q7063944	järnvägsarbetare	railway worker	Eisenbahner
http://www.wikidata.org/entity/Q14089670	rugby union-spelare	rugby union player	Rugby-Union-Spieler
http://www.wikidata.org/entity/Q14128148	utövare av nordamerikansk fotboll	gridiron football player	Gridiron-Football-Spieler
http://www.wikidata.org/entity/Q15055408	riksråd	Riksråd	Reichsrat
http://www.wikidata.org/entity/Q15041977	rugby union-tränare	rugby union coach	Rugby-Union-Trainer
http://www.wikidata.org/entity/Q6806468	Medical assistant	Medical assistant	Medical assistant
http://www.wikidata.org/entity/Q6805589	mediakonsult	media consultant	Mediaberater
http://www.wikidata.org/entity/Q10989378	matros	able seaman	Matrose
http://www.wikidata.org/entity/Q15301511	vasmålare	vase painter	Vasenmaler
http://www.wikidata.org/entity/Q15296811	tecknare	drawer	Zeichner
http://www.wikidata.org/entity/Q1413824	glasblåsare	glassblower	Glasbläser
http://www.wikidata.org/entity/Q1410101	fyrverkare	Feuerwerker	Feuerwerker
http://www.wikidata.org/entity/Q1413170	bokbindare	bookbinder	Buchbinder
http://www.wikidata.org/entity/Q6606110	industriidkare	industrialist	Industrieller
http://www.wikidata.org/entity/Q6625963	romanförfattare	novelist	Romancier
http://www.wikidata.org/entity/Q6859454	webbutvecklare	web developer	Webentwickler
http://www.wikidata.org/entity/Q6824851	metrolog	metrologist	Metrologe
http://www.wikidata.org/entity/Q1424605	börshandlare	trader	Trader
http://www.wikidata.org/entity/Q1427544	lakej	lackey	Lakai
http://www.wikidata.org/entity/Q6673651	litteratör	literary	Literat
http://www.wikidata.org/entity/Q14972848	lexikograf	lexicographer	Lexikograf
http://www.wikidata.org/entity/Q14948018	gatumusiker	street musician	Straßenmusiker
http://www.wikidata.org/entity/Q1437754	xylograf	xylographer	Xylograf
http://www.wikidata.org/entity/Q1436517	styrman	chief mate	Nautischer Offizier
http://www.wikidata.org/entity/Q2860259	marinarkitekt	marine architect	Schiffsarchitekt
http://www.wikidata.org/entity/Q2865798	glaskonstnär	glass artist	Glaskünstler
http://www.wikidata.org/entity/Q11085831	tolk	interpreter	Dolmetscher
http://www.wikidata.org/entity/Q2920595	sexolog	sexologist	Sexualwissenschaftler
http://www.wikidata.org/entity/Q1416106	biroll	supporting actor	Nebendarsteller
http://www.wikidata.org/entity/Q1416279	aktieanalytiker	financial analyst	Finanzanalyst
http://www.wikidata.org/entity/Q15117302	volleybollspelare	volleyball player	Volleyballspieler
http://www.wikidata.org/entity/Q15143181	rymdforskare	space scientist	Weltraumwissenschaftler
http://www.wikidata.org/entity/Q15117395	bancyklist	track cyclist	Bahnradfahrer
http://www.wikidata.org/entity/Q15117415	crosscyklist	cyclo-cross cyclist	Cyclocrossfahrer
http://www.wikidata.org/entity/Q15142825	kristallograf	crystallographer	Kristallograph
http://www.wikidata.org/entity/Q2962041	tågvärd	train conductor	Zugführer
http://www.wikidata.org/entity/Q2962070	scenograf	production designer	Szenenbildner
http://www.wikidata.org/entity/Q2962020	stins	station master	Bahnhofsvorstand
http://www.wikidata.org/entity/Q2926103	bronsgjutare	brazier	Bronzegießer
http://www.wikidata.org/entity/Q1478408	fotbollsförbundskapten	association football national coach	Fußballnationaltrainer
http://www.wikidata.org/entity/Q1459149	skolmästare	schoolmaster	Schulmeister
http://www.wikidata.org/entity/Q1479935	skogvaktare	park ranger	Wildhüter
http://www.wikidata.org/entity/Q1488015	gabbaj	Gabbai	Gabbai (Synagoge)
http://www.wikidata.org/entity/Q15462162	kulturhistoriker	cultural historian	Kulturhistoriker
http://www.wikidata.org/entity/Q15450044	cetolog	cetologist	Cetologe
http://www.wikidata.org/entity/Q11303721	golfspelare	golfer	Golfspieler
http://www.wikidata.org/entity/Q11287574	industridesigner	industrial designer	Industriedesigner
http://www.wikidata.org/entity/Q11296761	kickboxare	kickboxer	Kickboxer
http://www.wikidata.org/entity/Q11295636	bilformgivare	car designer	Fahrzeugdesigner
http://www.wikidata.org/entity/Q11679511	hallick	procurer	Zuhälter
http://www.wikidata.org/entity/Q11682235	jakttillsynsman	game warden	Jagdaufseher
http://www.wikidata.org/entity/Q11545923	militär befälhavare	military commander	Befehlshaber
http://www.wikidata.org/entity/Q11569986	gravör	printmaker	Druckgrafiker
http://www.wikidata.org/entity/Q7241052	kulturminnesvårdare	preservationist	Denkmalschützer
http://www.wikidata.org/entity/Q7234072	postanställd	postal worker	Postangestellter
http://www.wikidata.org/entity/Q11496048	krigsfotograf	war photographer	Kriegsfotograf
http://www.wikidata.org/entity/Q11499163	politisk kommentator	political pundit	politischer Kommentator
http://www.wikidata.org/entity/Q1509440	brodör	embroiderer	Sticker
http://www.wikidata.org/entity/Q2896489	patenthandläggare	patent examiner	Patentprüfer
http://www.wikidata.org/entity/Q2883465	investmentbankman	investment banker	Investmentbanker
http://www.wikidata.org/entity/Q15295720	pokerspelare	poker player	Pokerspieler
http://www.wikidata.org/entity/Q15284879	spacklare	plasterer	Stuckateur
http://www.wikidata.org/entity/Q1423426	relationsterapi	couples therapy	Paartherapie
http://www.wikidata.org/entity/Q1420621	mediaentreprenör	media proprietor	Medienunternehmer
http://www.wikidata.org/entity/Q1422683	Trimning	Engine tuning	Motortuning
http://www.wikidata.org/entity/Q1419997	organisatör	event producer	Organisator
http://www.wikidata.org/entity/Q1454494	fjärdedomare	fourth official	Vierter Offizieller
http://www.wikidata.org/entity/Q1454940	frivilligsoldat	military volunteer	Freiwilliger
http://www.wikidata.org/entity/Q1440873	show runner	showrunner	Showrunner
http://www.wikidata.org/entity/Q15632632	epigrafiker	epigrapher	Epigraphiker
http://www.wikidata.org/entity/Q15623737	glaciolog	glaciologist	Glaziologe
http://www.wikidata.org/entity/Q15632482	epistemolog	epistemologist	Epistemologe
http://www.wikidata.org/entity/Q15618890	buktalare	ventriloquist	Bauchredner
http://www.wikidata.org/entity/Q22073916	tragediförfattare	tragedy writer	Tragiker
http://www.wikidata.org/entity/Q22082749	pseudovetenskapare	pseudoscientist	Pseudowissenschaftler
http://www.wikidata.org/entity/Q3073127	fixare	fixer	Fixer (Journalismus)
http://www.wikidata.org/entity/Q3068305	salongsvärd	salonnière	Salonnière
http://www.wikidata.org/entity/Q22343421	kommentator	narrator	Off-Sprecher
http://www.wikidata.org/entity/Q15401884	medicinsk forskare	medical researcher	medizinischer Wissenschaftler
http://www.wikidata.org/entity/Q1430377	rekvisitör	property master	Requisiteur
http://www.wikidata.org/entity/Q1430627	ormtjusare	Snake charming	Schlangenbeschwörer
http://www.wikidata.org/entity/Q1430248	road crew	road crew	Roadie
http://www.wikidata.org/entity/Q1430683	flygmekaniker	aircraft mechanic	Fluggerätmechaniker
http://www.wikidata.org/entity/Q15306067	triathlet	triathlete	Triathlet
http://www.wikidata.org/entity/Q15319501	samhällsvetare	social scientist	Sozialwissenschaftler
http://www.wikidata.org/entity/Q11491523	idé- och lärdomshistoriker	historian of ideas	Ideengeschichtler
http://www.wikidata.org/entity/Q21591523	fruktodlare	fruit grower	Obstbauer
http://www.wikidata.org/entity/Q21600439	landskapsmålare	landscape artist	Landschaftsmaler
http://www.wikidata.org/entity/Q11481802	dubbningsskådespelare	dub actor	Synchronsprecher
http://www.wikidata.org/entity/Q11486702	arkitekturhistoriker	architectural historian	Architekturhistoriker
http://www.wikidata.org/entity/Q2986228	sportkommentator	sports commentator	Sportkommentator
http://www.wikidata.org/entity/Q1495660	matkritiker	food critic	Gastronomiekritiker
http://www.wikidata.org/entity/Q1494910	teammanager	teammanager	teammanager
http://www.wikidata.org/entity/Q1493121	militärhistoriker	military historian	Militärhistoriker
http://www.wikidata.org/entity/Q1489454	hamnkapten	harbourmaster	Hafenkapitän
http://www.wikidata.org/entity/Q11424130	ortnamnsforskare	toponymist	toponymist
http://www.wikidata.org/entity/Q22122536	boxningstränare	boxing trainer	Boxtrainer
http://www.wikidata.org/entity/Q22132694	museidirektör	museum director	Museumsdirektor
http://www.wikidata.org/entity/Q3029421	ansvarig utgivare	director of publication	Medienrechtlich verantwortliche Person
http://www.wikidata.org/entity/Q3029406	operachef	opera director	Operndirektor
