occupation	occupationLabelSv	occupationLabelEn
http://www.wikidata.org/entity/Q236979	skeppsmäklare	shipbroker
http://www.wikidata.org/entity/Q259327	badvakt	lifeguard
http://www.wikidata.org/entity/Q254651	navigatör	navigator
http://www.wikidata.org/entity/Q839935	manusdoktor	script doctor
http://www.wikidata.org/entity/Q842782	detektiv	detective
http://www.wikidata.org/entity/Q489933	tandsköterska	dental assistant
http://www.wikidata.org/entity/Q488205	singer-songwriter	singer-songwriter
http://www.wikidata.org/entity/Q326653	bokhållare	accountant
http://www.wikidata.org/entity/Q846750	jockey	jockey
http://www.wikidata.org/entity/Q846430	futurolog	futurist
http://www.wikidata.org/entity/Q508743	sofer	sofer
http://www.wikidata.org/entity/Q506126	sotare	chimney sweep
http://www.wikidata.org/entity/Q508846	lastbilschaufför	truck driver
http://www.wikidata.org/entity/Q852718	plåtslagare	whitesmith
http://www.wikidata.org/entity/Q852389	biodlare	beekeeper
http://www.wikidata.org/entity/Q497240	konferencier	master of ceremonies
http://www.wikidata.org/entity/Q497294	lepidopterist	lepidopterist
http://www.wikidata.org/entity/Q500097	hundspannsförare	musher
http://www.wikidata.org/entity/Q322898	djurskötare	zookeeper
http://www.wikidata.org/entity/Q52875	fotterapeut	podologist
http://www.wikidata.org/entity/Q707492	stabschef	chief of staff
http://www.wikidata.org/entity/Q706835	bilmekaniker	auto mechanic
http://www.wikidata.org/entity/Q45199	sjöman	sailor
http://www.wikidata.org/entity/Q838566	smed	metalsmith
http://www.wikidata.org/entity/Q838476	sportchef	sporting director
http://www.wikidata.org/entity/Q836328	svetsare	welder
http://www.wikidata.org/entity/Q836904	bryggare	brewer
http://www.wikidata.org/entity/Q47064	militär	military personnel
http://www.wikidata.org/entity/Q327321	murare	bricklayer
http://www.wikidata.org/entity/Q327029	mekaniker	mechanic
http://www.wikidata.org/entity/Q49757	poet	poet
http://www.wikidata.org/entity/Q856887	väktare	security guard
http://www.wikidata.org/entity/Q863368	spelprogrammerare	game programmer
http://www.wikidata.org/entity/Q864380	biograf	biographer
http://www.wikidata.org/entity/Q694116	mjölnare	miller
http://www.wikidata.org/entity/Q694579	hovslagare	farrier
http://www.wikidata.org/entity/Q726710	lekman	laic
http://www.wikidata.org/entity/Q466640	hästtränare	horse trainer
http://www.wikidata.org/entity/Q450202	gitarrbyggare	guitar maker
http://www.wikidata.org/entity/Q446966	konservator	conservator
http://www.wikidata.org/entity/Q270389	nyhetsankare	news presenter
http://www.wikidata.org/entity/Q741583	banvakt	platelayer
http://www.wikidata.org/entity/Q868069	torpare	tenant farmer
http://www.wikidata.org/entity/Q874894	dekoratör	window dresser
http://www.wikidata.org/entity/Q876864	redaktör	contributing editor
http://www.wikidata.org/entity/Q738142	kontorist	clerk
http://www.wikidata.org/entity/Q739437	affischkonstnär	poster artist
http://www.wikidata.org/entity/Q859528	fotbollsdomare	association football referee
http://www.wikidata.org/entity/Q862632	flygledare	air traffic controller
http://www.wikidata.org/entity/Q674067	pantomimartist	mime artist
http://www.wikidata.org/entity/Q674426	kurator	curator
http://www.wikidata.org/entity/Q500251	skeppsredare	ship-owner
http://www.wikidata.org/entity/Q501700	kontraspionage	counterintelligence
http://www.wikidata.org/entity/Q520895	grovplåtslagare	boilermaker
http://www.wikidata.org/entity/Q520549	geolog	geologist
http://www.wikidata.org/entity/Q537575	dödgrävare	gravedigger
http://www.wikidata.org/entity/Q540391	Dominatrix	professional dominatrix
http://www.wikidata.org/entity/Q273108	kondottiär	condottiero
http://www.wikidata.org/entity/Q278919	litterär agent	literary agent
http://www.wikidata.org/entity/Q278138	mjölkbud	milkman
http://www.wikidata.org/entity/Q736415	konferencier	conferencier
http://www.wikidata.org/entity/Q705908	agent (handel)	commercial agent
http://www.wikidata.org/entity/Q706364	art director	art director
http://www.wikidata.org/entity/Q702997	kapo	Kapo
http://www.wikidata.org/entity/Q329439	gravör	engraver
http://www.wikidata.org/entity/Q877558	Kommittent	consignor
http://www.wikidata.org/entity/Q878295	plattsättare	tiler
http://www.wikidata.org/entity/Q878553	IT-forensik	computer forensics
http://www.wikidata.org/entity/Q288728	målare	painter and varnisher
http://www.wikidata.org/entity/Q285759	försäkringsmäklare	insurance broker
http://www.wikidata.org/entity/Q282718	mosaikkonstnär	mosaicist
http://www.wikidata.org/entity/Q329455	fredsdomare	justice of the peace
http://www.wikidata.org/entity/Q266750	medicinman	medicine man
http://www.wikidata.org/entity/Q267640	amatörforskare	independent scholar
http://www.wikidata.org/entity/Q264323	kammarherre	chamberlain
http://www.wikidata.org/entity/Q864503	biolog	biologist
http://www.wikidata.org/entity/Q316498	kadett	cadet
http://www.wikidata.org/entity/Q316490	begravningsentreprenör	funeral director
http://www.wikidata.org/entity/Q311396	kriminalvårdare	prison officer
http://www.wikidata.org/entity/Q713200	artist	performing artist
http://www.wikidata.org/entity/Q883211	kommundirektör	municipal clerk
http://www.wikidata.org/entity/Q885122	pianobyggare	piano maker
http://www.wikidata.org/entity/Q81096	ingenjör	engineer
http://www.wikidata.org/entity/Q289612	byggmästare	general contractor
http://www.wikidata.org/entity/Q294126	lantmätare	land surveyor
http://www.wikidata.org/entity/Q290655	atomspion	atomic spy
http://www.wikidata.org/entity/Q302691	militärattaché	military attaché
http://www.wikidata.org/entity/Q551835	författare och läkare	physician writer
http://www.wikidata.org/entity/Q559597	ebenist	cabinetmaker
http://www.wikidata.org/entity/Q582096	gesäll	journeyman
http://www.wikidata.org/entity/Q589298	chefredaktör	editor-in-chief
http://www.wikidata.org/entity/Q80687	sekreterare	secretary
http://www.wikidata.org/entity/Q61341	djursjukvårdare	paraveterinary worker
http://www.wikidata.org/entity/Q742628	underläkare	Assistant physician
http://www.wikidata.org/entity/Q744738	encyklopedist	encyclopédistes
http://www.wikidata.org/entity/Q715222	hovdam	lady-in-waiting
http://www.wikidata.org/entity/Q715301	serieskapare	comics artist
http://www.wikidata.org/entity/Q572700	byråkrat	bureaucrat
http://www.wikidata.org/entity/Q561457	transportör	carrier
http://www.wikidata.org/entity/Q43845	affärsman	businessperson
http://www.wikidata.org/entity/Q578478	sheriff	sheriff
http://www.wikidata.org/entity/Q579021	parfymör	perfumer
http://www.wikidata.org/entity/Q2106711	skeppsbyggare	shipbuilder
http://www.wikidata.org/entity/Q516463	heraldiker	heraldist
http://www.wikidata.org/entity/Q511054	griot	griot
http://www.wikidata.org/entity/Q54128	hushållsarbetare	domestic worker
http://www.wikidata.org/entity/Q330204	akutsjukvårdare	paramedic
http://www.wikidata.org/entity/Q329737	slaktare	butcher
http://www.wikidata.org/entity/Q519076	fastighetsmäklare	real estate broker
http://www.wikidata.org/entity/Q330679	kantor	cantor
http://www.wikidata.org/entity/Q549322	torero	bullfighter
http://www.wikidata.org/entity/Q550594	fiskhandlare	fishmonger
http://www.wikidata.org/entity/Q549237	segelmakare	sailmaker
http://www.wikidata.org/entity/Q333634	översättare	translator
http://www.wikidata.org/entity/Q578109	TV-producent	television producer
http://www.wikidata.org/entity/Q864835	biotekniker	biotechnologist
http://www.wikidata.org/entity/Q865851	supermodell	supermodel
http://www.wikidata.org/entity/Q10567966	liturgist	liturgist
http://www.wikidata.org/entity/Q10568847	logistiker	logistician
http://www.wikidata.org/entity/Q10611691	ornamentsbildhuggare	ornamental sculptor
http://www.wikidata.org/entity/Q10650082	recensent	reviewer
http://www.wikidata.org/entity/Q10556315	ledsagare	guide
http://www.wikidata.org/entity/Q10607873	offentligt biträde	Public counsil
http://www.wikidata.org/entity/Q10651584	revyförfattare	revue writer
http://www.wikidata.org/entity/Q10655125	riksbibliotekarie	National librarian of Sweden
http://www.wikidata.org/entity/Q323336	kommissionär	factor
http://www.wikidata.org/entity/Q325380	ståthållare	Stadtholder
http://www.wikidata.org/entity/Q82723	geisha	geisha
http://www.wikidata.org/entity/Q753110	låtskrivare	songwriter
http://www.wikidata.org/entity/Q930374	överhovmästarinna	Mistress of the Robes
http://www.wikidata.org/entity/Q924581	specialistsjuksköterska	clinical nurse specialist
http://www.wikidata.org/entity/Q913603	socionomexamen	Bachelor of Social Work
http://www.wikidata.org/entity/Q55187	frisör	hairdresser
http://www.wikidata.org/entity/Q58968	intellektuell	intellectual
http://www.wikidata.org/entity/Q730242	testpilot	test pilot
http://www.wikidata.org/entity/Q728973	kohen	Kohen
http://www.wikidata.org/entity/Q728425	aeronaut	balloonist
http://www.wikidata.org/entity/Q899758	violast	violist
http://www.wikidata.org/entity/Q897317	vinodlare	winegrower
http://www.wikidata.org/entity/Q901402	geograf	geographer
http://www.wikidata.org/entity/Q901222	instruktör	tutor
http://www.wikidata.org/entity/Q102083	riddare	knight
http://www.wikidata.org/entity/Q101539	kabinpersonal	flight attendant
http://www.wikidata.org/entity/Q2133309	inredningsarkitekt	interior designer
http://www.wikidata.org/entity/Q2114844	taxidermist	taxidermist
http://www.wikidata.org/entity/Q2141946	reseagent	travel agent
http://www.wikidata.org/entity/Q2135538	rättshistoriker	legal historian
http://www.wikidata.org/entity/Q2143894	cricketdomare	cricket umpire
http://www.wikidata.org/entity/Q4144610	alpin skidåkare	alpine skier
http://www.wikidata.org/entity/Q112040	grid girl	race queen
http://www.wikidata.org/entity/Q749813	doula	doula
http://www.wikidata.org/entity/Q752129	astrofysiker	astrophysicist
http://www.wikidata.org/entity/Q748645	skeppsklarerare	shipping agent
http://www.wikidata.org/entity/Q107711	brandman	firefighter
http://www.wikidata.org/entity/Q327353	systemadministratör	system administrator
http://www.wikidata.org/entity/Q328325	stenhuggare	stonemason
http://www.wikidata.org/entity/Q4199058	ikonmålare	iconographer
http://www.wikidata.org/entity/Q4205432	iktyolog	ichthyologist
http://www.wikidata.org/entity/Q4182927	börsmäklare	stockbroker
http://www.wikidata.org/entity/Q911554	industrialist	business magnate
