person	personLabelSv	cityOfBirth	occupationLabelsSv	occupationLabelsEn	sitelinks	occupationLabelsDe	occupationLabelsEs
http://www.wikidata.org/entity/Q6234347	Jörgen Weibull	http://www.wikidata.org/entity/Q2167	forskare, politiker, historiker, rektor	researcher, politician, historian, rector	3	Politiker, Historiker, Rektor, Forscher	político, historiador, rector, investigador
http://www.wikidata.org/entity/Q6016074	Gerhard Nordström	http://www.wikidata.org/entity/Q2167	målare	painter	3	Maler	pintor
http://www.wikidata.org/entity/Q6210181	Johan Thyrén	http://www.wikidata.org/entity/Q2167	politiker, universitetslärare, jurist, historiker	politician, university teacher, jurist, historian	3	Politiker, Jurist, Historiker, Hochschullehrer	político, jurista, historiador, profesor universitario
http://www.wikidata.org/entity/Q4965436	Sara Mannheimer	http://www.wikidata.org/entity/Q2167	författare, formgivare	writer, designer	3	Schriftsteller, Designer	escritor, diseñador
http://www.wikidata.org/entity/Q5944480	Lars Johan Lehming	http://www.wikidata.org/entity/Q2167	arkitekt	architect	3	Architekt	arquitecto
http://www.wikidata.org/entity/Q6062322	Stig Ramel	http://www.wikidata.org/entity/Q2167	affärsman	businessperson	3	Geschäftsmann	empresario
http://www.wikidata.org/entity/Q6066319	Carl Göran Regnéll	http://www.wikidata.org/entity/Q2167	politiker, bankdirektör	politician, bank manager	3	Politiker, Bankmanager	político, director de banco
http://www.wikidata.org/entity/Q6045309	Carl Petersson	http://www.wikidata.org/entity/Q2167	pianist	pianist	3	Pianist	pianista
http://www.wikidata.org/entity/Q5723297	Bengt Fahlström	http://www.wikidata.org/entity/Q2167	journalist, TV-programledare	journalist, television presenter	3	Fernsehmoderator, Journalist	presentador de televisión, periodista
http://www.wikidata.org/entity/Q4950718	Karin Granbom Ellison	http://www.wikidata.org/entity/Q2167	politiker	politician	3	Politiker	político
http://www.wikidata.org/entity/Q4950743	Sara Granér	http://www.wikidata.org/entity/Q2167	serieskapare	comics artist	3	Comiczeichner	historietista
http://www.wikidata.org/entity/Q5618961	Gunnar Böös	http://www.wikidata.org/entity/Q2167	ämbetsman, fäktare	civil servant, fencer	3	Fechter, Staatsdiener	esgrimista, funcionario
http://www.wikidata.org/entity/Q5619361	John Degerberg	http://www.wikidata.org/entity/Q2167	skådespelare	actor	3	Schauspieler	actor
http://www.wikidata.org/entity/Q934919	Valdemar Söderholm	http://www.wikidata.org/entity/Q175885	kompositör, organist, musikvetare	composer, organist, musicologist	3	Komponist, Organist, Musikwissenschaftler	compositor, organista, musicólogo
http://www.wikidata.org/entity/Q4946064	Mim Ekelund	http://www.wikidata.org/entity/Q2167	skådespelare	actor	3	Schauspieler	actor
http://www.wikidata.org/entity/Q5902433	Jonas Karlström	http://www.wikidata.org/entity/Q2167	skådespelare	actor	3	Schauspieler	actor
http://www.wikidata.org/entity/Q18747101	Per Olof Lefvert	http://www.wikidata.org/entity/Q174126	arkitekt	architect	3	Architekt	arquitecto
http://www.wikidata.org/entity/Q6891440	Mohamed Ramadan	http://www.wikidata.org/entity/Q2211	fotbollsspelare	association football player	3	Fußballspieler	futbolista
http://www.wikidata.org/entity/Q129454	Peter Egardt	http://www.wikidata.org/entity/Q2167	affärsman, ämbetsman, politiker	businessperson, civil servant, politician	3	Staatsdiener, Geschäftsmann, Politiker	funcionario, empresario, político
http://www.wikidata.org/entity/Q6758043	Marcus Björk	http://www.wikidata.org/entity/Q2211	konståkare	figure skater	3	Eiskunstläufer	patinador artístico sobre hielo
http://www.wikidata.org/entity/Q7302214	Rebstar	http://www.wikidata.org/entity/Q2211	sångare	singer	3	Sänger	cantante
http://www.wikidata.org/entity/Q7283139	Ragnar Gripe	http://www.wikidata.org/entity/Q2211	seglare, ingenjör	sailor, engineer	3	Segler, Ingenieur	regatista, ingeniero
http://www.wikidata.org/entity/Q997958	Leif Bergson	http://www.wikidata.org/entity/Q174126	universitetslärare, klassisk filolog	university teacher, classical philologist	3	Hochschullehrer, Klassischer Philologe	profesor universitario, filólogo clásico
http://www.wikidata.org/entity/Q4936676	Ingrid Arvidsson	http://www.wikidata.org/entity/Q2167	författare, litteraturkritiker, filmkritiker	writer, literary critic, film critic	3	Schriftsteller, Filmkritiker, Literaturkritiker	escritor, crítico de cine, crítico literario
http://www.wikidata.org/entity/Q6256873	Per-Erik Öhrn	http://www.wikidata.org/entity/Q2211	skådespelare, översättare, regissör	actor, translator, director	3	Schauspieler, Übersetzer, Regisseur	actor, traductor, realizador
http://www.wikidata.org/entity/Q4938383	Gunilla Bergensten	http://www.wikidata.org/entity/Q174126	författare, journalist	writer, journalist	3	Schriftsteller, Journalist	escritor, periodista
http://www.wikidata.org/entity/Q5901459	Helge Karlsson	http://www.wikidata.org/entity/Q174126	skådespelare	actor	3	Schauspieler	actor
http://www.wikidata.org/entity/Q17331549	Bertil Håkansson	http://www.wikidata.org/entity/Q977073	arkitekt	architect	3	Architekt	arquitecto
http://www.wikidata.org/entity/Q16633339	Mattias Ottosson	http://www.wikidata.org/entity/Q174126	politiker	politician	3	Politiker	político
