person	personLabelSv	cityOfBirth	occupationLabelsDe	occupationLabelsEs	sitelinks
http://www.wikidata.org/entity/Q3705494	Dennis Jonsson	http://www.wikidata.org/entity/Q25287	Fußballspieler	futbolista	6
http://www.wikidata.org/entity/Q3865425	Gustav Sandberg	http://www.wikidata.org/entity/Q25287	Fußballspieler	futbolista	6
http://www.wikidata.org/entity/Q119846	Jesper Björnlund	http://www.wikidata.org/entity/Q1284760	Freistil-Skifahrer	esquiador acrobático	6
http://www.wikidata.org/entity/Q4945796	Sara Edwardsson	http://www.wikidata.org/entity/Q25286	Schauspieler, Sänger, Fernsehmoderator	actor, cantante, presentador de televisión	6
http://www.wikidata.org/entity/Q72753160	Tim Rönning	http://www.wikidata.org/entity/Q2568240	Fußballspieler	futbolista	6
http://www.wikidata.org/entity/Q1078510	Christer Fant	http://www.wikidata.org/entity/Q3183470	Schauspieler, Filmschauspieler, Sprecher	actor, actor de cine, actor de voz	6
http://www.wikidata.org/entity/Q6043733	Simon Persson	http://www.wikidata.org/entity/Q1272709	Skilangläufer	esquiador de fondo	6
http://www.wikidata.org/entity/Q6185560	Per Spett	http://www.wikidata.org/entity/Q1284760	Freistil-Skifahrer	esquiador acrobático	6
http://www.wikidata.org/entity/Q3438171	Janne Josefsson	http://www.wikidata.org/entity/Q25287	Fernsehmoderator, Journalist	presentador de televisión, periodista	6
http://www.wikidata.org/entity/Q15734558	Fredrik Andersson	http://www.wikidata.org/entity/Q2943707	Fußballspieler	futbolista	6
http://www.wikidata.org/entity/Q42552693	Kristina Edström	http://www.wikidata.org/entity/Q25287	Professor	catedrático	6
http://www.wikidata.org/entity/Q3325430	Dr. Matt Destruction	http://www.wikidata.org/entity/Q985617	Musiker	músico	6
http://www.wikidata.org/entity/Q3325420	Vigilante Carlstroem	http://www.wikidata.org/entity/Q985617	Gitarrist	guitarrista	6
http://www.wikidata.org/entity/Q3488832	Sofia Paldanius	http://www.wikidata.org/entity/Q25287	Kanute, Kajakfahrer	piragüista, kayakista	6
http://www.wikidata.org/entity/Q5602993	Arne Carlsson	http://www.wikidata.org/entity/Q25286	Eishockeyspieler	jugador de hockey sobre hielo	6
http://www.wikidata.org/entity/Q4354795	Mikaela Valtersson	http://www.wikidata.org/entity/Q2943699	Politiker	político	6
http://www.wikidata.org/entity/Q2872256	Cecilia Vennersten	http://www.wikidata.org/entity/Q25287	Aufnahmekünstler, Sänger	artista discográfico, cantante	6
http://www.wikidata.org/entity/Q3218147	Lars Jonsson	http://www.wikidata.org/entity/Q25287	Tennisspieler	tenista	6
http://www.wikidata.org/entity/Q3197697	Kjell Nilsson	http://www.wikidata.org/entity/Q25287	Schauspieler	actor	6
http://www.wikidata.org/entity/Q23869474	Isac Lundeström	http://www.wikidata.org/entity/Q259046	Eishockeyspieler	jugador de hockey sobre hielo	6
http://www.wikidata.org/entity/Q3365559	Björn Envall	http://www.wikidata.org/entity/Q25287	Designer, Ingenieur	diseñador, ingeniero	6
http://www.wikidata.org/entity/Q3366124	Lasse Brandeby	http://www.wikidata.org/entity/Q25287	Schauspieler, Komiker, Journalist	actor, comediante, periodista	6
http://www.wikidata.org/entity/Q3372189	Claes Malmberg	http://www.wikidata.org/entity/Q25287	Schauspieler	actor	6
http://www.wikidata.org/entity/Q6016378	Yngve Nordwall	http://www.wikidata.org/entity/Q25286	Regisseur, Filmregisseur, Schauspieler	realizador, director de cine, actor	6
http://www.wikidata.org/entity/Q1682264	Janne Svensson	http://www.wikidata.org/entity/Q984831	Fußballspieler	futbolista	6
http://www.wikidata.org/entity/Q6045591	Sven Plex Petersson	http://www.wikidata.org/entity/Q1021109	Journalist	periodista	6
http://www.wikidata.org/entity/Q52482603	Nils Lundkvist	http://www.wikidata.org/entity/Q21169	Eishockeyspieler	jugador de hockey sobre hielo	6
http://www.wikidata.org/entity/Q1677505	Jacob Gråberg	http://www.wikidata.org/entity/Q1343999	Bibliothekar, Autor	bibliotecario, autor	6
http://www.wikidata.org/entity/Q6241692	Peter Wikström	http://www.wikidata.org/entity/Q21169	Rollstuhltennisspieler	tenista en silla de ruedas	6
http://www.wikidata.org/entity/Q18584677	Sofia Henriksson	http://www.wikidata.org/entity/Q21169	Skilangläufer	esquiador de fondo	6
http://www.wikidata.org/entity/Q4582775	Arne Lindblad	http://www.wikidata.org/entity/Q25287	Schauspieler	actor	6
http://www.wikidata.org/entity/Q19976336	Ronja Aronsson	http://www.wikidata.org/entity/Q21169	Fußballspieler	futbolista	6
